id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
273229,Confortable and very well located,1429552,Marta,Eixample,Sant Antoni,41.37704,2.15782,Entire home/apt,60,20,137,2020-11-01,1.31,1,319
273932,Oriental Design apartment,1432835,Angel,Eixample,l'Antiga Esquerra de l'Eixample,41.3895,2.15769,Entire home/apt,85,3,175,2020-03-09,1.62,35,70
275336,Noname - Charming 3BR+Terrace just off Gran Via,1435464,Jaume,Eixample,la Nova Esquerra de l'Eixample,41.38294,2.15728,Entire home/apt,86,3,98,2020-11-30,0.97,21,320
275346,Sunny terrace penthouse by Camp Nou Free Nespresso,1435464,Jaume,Sarrià-Sant Gervasi,Sarrià,41.3924,2.12314,Entire home/apt,135,3,42,2020-09-01,0.41,21,299
"275350,""Parsifal-Front Row Seat on La Rambla, Blend of Character and Modernity"",1435464,Jaume,Ciutat Vella,el Raval,41.3796,2.17352,Entire home/apt,84,32,50,2020-01-03,0.60,21,332"
275889,La Rambla Zen 1BR apt in Center,1435464,Jaume,Ciutat Vella,el Raval,41.38191,2.1714,Entire home/apt,66,32,9,2018-10-20,0.09,21,179
276324,COMFORTABLE IN GRACE APARTMENT,1443815,Francisca,Gràcia,la Vila de Gràcia,41.40098,2.16085,Entire home/apt,97,5,60,2020-12-13,0.57,1,297
276527,Nice rustic apartament - Parc Güell,1444707,Jesus,Gràcia,el Coll,41.42027,2.14873,Entire home/apt,76,2,378,2020-11-29,3.51,2,1
"282679,""Charming Penthouse,two amazing terraces"",1354169,Valentin,Eixample,Sant Antoni,41.38034,2.15823,Entire home/apt,225,4,32,2020-02-29,0.31,3,358"
"283231,FANTASTIC20m2TerraceVIEW-@800m BEACH/BORN/GOTIC,1475411,Francesco,Ciutat Vella,""Sant Pere, Santa Caterina i la Ribera"",41.39121,2.18665,Entire home/apt,74,1,229,2020-12-08,2.12,1,1"
286105,Room at Gran Via Barcelona Spain,1489008,Anne Li,Eixample,la Sagrada Família,41.40269,2.18381,Private room,55,1,1,2014-06-03,0.01,1,359
